"symbol","instrument_type","security_type","market_status","total_volume","aum_size","average","change","eps","exchange","exercise_price","exercise_ratio","high","implied_volatility","inav","intrinsic_value","last","last_trading_date","low","maturity_date","moneyness","pbv","pe","percent_change","percent_yield","theoretical","to_last_trade","underlying","underlying_price","updated_at"
"EASON","STOCK","CS","Close",0,NULL,NULL,NULL,"0.1127",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.65","9.32",NULL,"5.710000038146973",NULL,NULL,NULL,NULL,"2025-03-19 15:14:23.582043"
"EASTW","STOCK","CS","Close",0,NULL,NULL,NULL,"0.0262",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.29","71.4",NULL,"1.0",NULL,NULL,NULL,NULL,"2025-03-19 15:14:25.750929"
"ECF","STOCK","CS","Close",0,NULL,NULL,NULL,"-0.2411",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.19","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:14:27.920287"
"ECL","STOCK","CS","Close",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-03-19 15:14:30.096718"
"EE","STOCK","CS","Close",0,NULL,NULL,NULL,"-0.01901",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"7.07","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:14:32.277741"
"EFORL","STOCK","CS","Close",0,NULL,NULL,NULL,"0.00493",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.69","46.7",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:14:34.449614"
"EGATIF","STOCK","CS","Close",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.73",NULL,NULL,"5.880000114440918",NULL,NULL,NULL,NULL,"2025-03-19 15:14:36.632093"
"EGCO","STOCK","CS","Close",0,NULL,NULL,NULL,"10.28",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.48","9.22",NULL,"6.860000133514404",NULL,NULL,NULL,NULL,"2025-03-19 15:14:38.809883"
"EKH","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.365",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2.02","19.31",NULL,"8.239999771118164",NULL,NULL,NULL,NULL,"2025-03-19 15:14:40.984338"
"EMC","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.00468",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.67","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:14:43.14055"
"EP","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.8846",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.42","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:14:45.311945"
"EPG","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.19567",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.73","12.85",NULL,"6.829999923706055",NULL,NULL,NULL,NULL,"2025-03-19 15:14:47.500802"
"ERW","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.2713",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.77","12.06",NULL,"2.8499999046325684",NULL,NULL,NULL,NULL,"2025-03-19 15:14:49.671627"
"ESTAR","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.00679",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.18","26.51",NULL,"5.559999942779541",NULL,NULL,NULL,NULL,"2025-03-19 15:14:51.823695"
"ETC","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.04169",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.99","31.66",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:14:53.992897"
"ETE","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.0238",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.42","30.25",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:14:56.248501"
"ETL","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.42","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:14:58.414162"
"EURO","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.42",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.5","10.5",NULL,"5.090000152587891",NULL,NULL,NULL,NULL,"2025-03-19 15:15:00.612516"
"EVER","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.06977",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.19","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:15:02.77376"
"F&D","STOCK","CS","Open1",0,NULL,NULL,NULL,"4.57",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.49","8.74",NULL,"6.25",NULL,NULL,NULL,NULL,"2025-03-19 15:15:04.941051"
"FANCY","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.02241",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.24","14.73",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:15:07.107516"
"FE","STOCK","CS","Open1",0,NULL,NULL,NULL,"18.0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.99","10.5",NULL,"6.349999904632568",NULL,NULL,NULL,NULL,"2025-03-19 15:15:09.312784"
"FLOYD","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.105",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.71","7.62",NULL,"10.0",NULL,NULL,NULL,NULL,"2025-03-19 15:15:11.514836"
"FM","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.79811",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.14","5.49",NULL,"8.970000267028809",NULL,NULL,NULL,NULL,"2025-03-19 15:15:13.69286"
"FMT","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.75827",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.93","0.0",NULL,"3.4800000190734863",NULL,NULL,NULL,NULL,"2025-03-19 15:15:15.851564"
"FN","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.08526",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.53","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:15:18.024387"
"FNS","STOCK","CS","Open1",0,NULL,NULL,NULL,"-6.09",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.3","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:15:20.176874"
"FORTH","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.23659",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"3.47","30.43",NULL,"2.0799999237060547",NULL,NULL,NULL,NULL,"2025-03-19 15:15:22.342061"
"FPI","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.18256",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.02","8.98",NULL,"4.880000114440918",NULL,NULL,NULL,NULL,"2025-03-19 15:15:24.51994"
"FPT","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.14",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.41","10.49",NULL,"4.730000019073486",NULL,NULL,NULL,NULL,"2025-03-19 15:15:26.69419"
"FSMART","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.57154",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"3.3","9.89",NULL,"4.070000171661377",NULL,NULL,NULL,NULL,"2025-03-19 15:15:28.859026"
"FSX","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.09",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.36","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:15:31.028452"
"FTE","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.18",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.19","8.97",NULL,"10.130000114440918",NULL,NULL,NULL,NULL,"2025-03-19 15:15:33.17408"
"FTI","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.08128",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.07","20.92",NULL,"4.119999885559082",NULL,NULL,NULL,NULL,"2025-03-19 15:15:35.413918"
"FTREIT","STOCK","CS","Open1",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.92",NULL,NULL,"7.480000019073486",NULL,NULL,NULL,NULL,"2025-03-19 15:15:37.599937"
"FUTURERT","STOCK","CS","Open1",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.95",NULL,NULL,"2.509999990463257",NULL,NULL,NULL,NULL,"2025-03-19 15:15:39.760446"
"FVC","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.034",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.37","11.19",NULL,"2.5999999046325684",NULL,NULL,NULL,NULL,"2025-03-19 15:15:41.911989"
"GABLE","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.33789",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.99","9.23",NULL,"8.65999984741211",NULL,NULL,NULL,NULL,"2025-03-19 15:15:44.091951"
"GAHREIT","STOCK","CS","Open1",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.58",NULL,NULL,"10.0",NULL,NULL,NULL,NULL,"2025-03-19 15:15:46.258868"
"GBX","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.05005",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.44","0.0",NULL,"5.050000190734863",NULL,NULL,NULL,NULL,"2025-03-19 15:15:48.426552"
"GC","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.4334",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"3.44","11.54",NULL,"8.0",NULL,NULL,NULL,NULL,"2025-03-19 15:15:50.587255"
"GCAP","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.027",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.25","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:21:04.515776"
"GEL","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.05507",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.12","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:21:06.687685"
"GENCO","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.11216",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.27","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:21:08.870582"
"GFC","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.33412",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.85","14.73",NULL,"5.079999923706055",NULL,NULL,NULL,NULL,"2025-03-19 15:21:11.031398"
"GFPT","STOCK","CS","Open1",0,NULL,NULL,NULL,"1.57424",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.53","5.21",NULL,"2.440000057220459",NULL,NULL,NULL,NULL,"2025-03-19 15:21:13.184592"
"GGC","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.25881",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.41","0.0",NULL,"2.630000114440918",NULL,NULL,NULL,NULL,"2025-03-19 15:21:15.34394"
"GJS","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.03997",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.32","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:21:17.504044"
"GL","STOCK","CS","Suspend",0,NULL,NULL,NULL,"-0.81214",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-03-19 15:21:19.663453"
"GLAND","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.065",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.42","16.06",NULL,"2.4000000953674316",NULL,NULL,NULL,NULL,"2025-03-19 15:21:21.828096"
"GLOBAL","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.45695",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.52","15.79",NULL,"2.549999952316284",NULL,NULL,NULL,NULL,"2025-03-19 15:21:23.997612"
"GLOCON","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.10693",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.11","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:21:26.432842"
"GLORY","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.25066",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.21","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:21:28.986261"
"GPI","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.18079",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.3","8.96",NULL,"10.489999771118164",NULL,NULL,NULL,NULL,"2025-03-19 15:21:31.145597"
"GPSC","STOCK","CS","Open1",0,NULL,"29.75",NULL,"1.44",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.79","20.82",NULL,"3.0",NULL,NULL,NULL,NULL,"2025-03-19 15:21:33.304033"
"GRAMMY","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.24",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.93","20.88",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:21:35.459741"
"GRAND","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.072",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.21","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:21:37.608685"
"GREEN","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.008",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.81","101.27",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:21:39.767625"
"GROREIT","STOCK","CS","Open1",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.76",NULL,NULL,"6.630000114440918",NULL,NULL,NULL,NULL,"2025-03-19 15:21:41.925737"
"GSTEEL","STOCK","CS","Suspend",0,NULL,NULL,NULL,"-0.06068",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-03-19 15:21:44.185968"
"GTB","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.081",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.86","9.26",NULL,"6.670000076293945",NULL,NULL,NULL,NULL,"2025-03-19 15:21:46.369116"
"GTV","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.01066",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.45","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:21:48.548419"
"GULF","STOCK","CS","Open1",0,NULL,"60.0",NULL,"1.55",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"4.39","30.03",NULL,"2.1700000762939453",NULL,NULL,NULL,NULL,"2025-03-19 15:30:10.129632"
"GUNKUL","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.02","8.49",NULL,"4.880000114440918",NULL,NULL,NULL,NULL,"2025-03-19 15:30:12.300472"
"GVREIT","STOCK","CS","Open1",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.6",NULL,NULL,"12.180000305175781",NULL,NULL,NULL,NULL,"2025-03-19 15:30:14.463588"
"GYT","STOCK","CS","Open1",0,NULL,NULL,NULL,"20.90405",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.34","8.32",NULL,"4.25",NULL,NULL,NULL,NULL,"2025-03-19 15:30:16.648082"
"HANA","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.71572",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.56","0.0",NULL,"4.409999847412109",NULL,NULL,NULL,NULL,"2025-03-19 15:30:18.835566"
"HARN","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.14987",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.89","14.01",NULL,"5.710000038146973",NULL,NULL,NULL,NULL,"2025-03-19 15:30:20.972683"
"HEALTH","STOCK","CS","Open1",0,NULL,NULL,NULL,"-1.16836",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.5","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:30:23.132325"
"HENG","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.01916",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.78","55.86",NULL,"4.909999847412109",NULL,NULL,NULL,NULL,"2025-03-19 15:30:25.295928"
"HFT","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.57",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.73","7.09",NULL,"6.96999979019165",NULL,NULL,NULL,NULL,"2025-03-19 15:30:27.45847"
"HL","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.28774",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.93","24.85",NULL,"2.380000114440918",NULL,NULL,NULL,NULL,"2025-03-19 15:30:29.802411"
"HMPRO","STOCK","CS","Open1",0,NULL,"10.0",NULL,"0.49282",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"3.8","15.67",NULL,"5.550000190734863",NULL,NULL,NULL,NULL,"2025-03-19 15:30:32.238292"
"HPF","STOCK","CS","Open1",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.51",NULL,NULL,"11.270000457763672",NULL,NULL,NULL,NULL,"2025-03-19 15:30:34.661778"
"HPT","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.0452",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.77","8.63",NULL,"5.71999979019165",NULL,NULL,NULL,NULL,"2025-03-19 15:30:36.803521"
"HTC","STOCK","CS","Open1",0,NULL,NULL,NULL,"1.49708",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.6","10.96",NULL,"6.400000095367432",NULL,NULL,NULL,NULL,"2025-03-19 15:30:38.961001"
"HTECH","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.37875",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.67","7.87",NULL,"5.369999885559082",NULL,NULL,NULL,NULL,"2025-03-19 15:30:41.146287"
"HUMAN","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2.0","21.44",NULL,"3.5299999713897705",NULL,NULL,NULL,NULL,"2025-03-19 15:30:43.303389"
"HYDRO","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.47992",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"11.01","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:30:45.474434"
"HYDROGEN","STOCK","CS","Open1",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.03",NULL,NULL,"2.4600000381469727",NULL,NULL,NULL,NULL,"2025-03-19 15:30:47.64807"
"I2","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.14081",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.68","7.46",NULL,"6.670000076293945",NULL,NULL,NULL,NULL,"2025-03-19 15:30:49.891487"
"ICC","STOCK","CS","Open1",0,NULL,NULL,NULL,"2.69302",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.41","12.16",NULL,"1.9199999570846558",NULL,NULL,NULL,NULL,"2025-03-19 15:30:52.03359"
"ICHI","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.99796",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2.82","12.34",NULL,"8.869999885559082",NULL,NULL,NULL,NULL,"2025-03-19 15:39:27.067805"
"ICN","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.22",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.46","8.75",NULL,"10.359999656677246",NULL,NULL,NULL,NULL,"2025-03-19 15:39:29.246483"
"IFS","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.27763",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.63","8.36",NULL,"6.380000114440918",NULL,NULL,NULL,NULL,"2025-03-19 15:39:31.397223"
"IHL","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.09662",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.55","15.83",NULL,"5.230000019073486",NULL,NULL,NULL,NULL,"2025-03-19 15:39:33.543271"
"IIG","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.45",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.66","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:39:35.717477"
"III","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.5639",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.96","8.5",NULL,"6.679999828338623",NULL,NULL,NULL,NULL,"2025-03-19 15:39:37.866502"
"ILINK","STOCK","CS","Open1",0,NULL,NULL,NULL,"1.041",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.72","5.68",NULL,"7.119999885559082",NULL,NULL,NULL,NULL,"2025-03-19 15:39:40.013724"
"ILM","STOCK","CS","Open1",0,NULL,NULL,NULL,"1.47593",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.16","9.62",NULL,"7.039999961853027",NULL,NULL,NULL,NULL,"2025-03-19 15:39:42.177805"
"IMH","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.35",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.21","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:39:44.352884"
"IMPACT","STOCK","CS","Open1",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.89",NULL,NULL,"5.449999809265137",NULL,NULL,NULL,NULL,"2025-03-19 15:39:46.525831"
"IND","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.1654",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.64","5.2",NULL,"7.699999809265137",NULL,NULL,NULL,NULL,"2025-03-19 15:39:49.009917"
"INET","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.75",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.85","7.53",NULL,"2.450000047683716",NULL,NULL,NULL,NULL,"2025-03-19 15:39:51.402968"
"INETREIT","STOCK","CS","Open1",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.76",NULL,NULL,"9.359999656677246",NULL,NULL,NULL,NULL,"2025-03-19 15:39:53.618383"
"INGRS","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.03276",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.32","63.25",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:39:56.386902"
"INOX","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.045",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.35","9.33",NULL,"5.480000019073486",NULL,NULL,NULL,NULL,"2025-03-19 15:39:58.550975"
"INSET","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.1094",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.15","18.46",NULL,"3.9600000381469727",NULL,NULL,NULL,NULL,"2025-03-19 15:40:00.72024"
"INSURE","STOCK","CS","Open1",0,NULL,NULL,NULL,"17.3454",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.72","5.78",NULL,"10.84000015258789",NULL,NULL,NULL,NULL,"2025-03-19 15:40:02.894579"
