"symbol","instrument_type","security_type","market_status","total_volume","aum_size","average","change","eps","exchange","exercise_price","exercise_ratio","high","implied_volatility","inav","intrinsic_value","last","last_trading_date","low","maturity_date","moneyness","pbv","pe","percent_change","percent_yield","theoretical","to_last_trade","underlying","underlying_price","updated_at"
"BE8","STOCK","CS","Open1",0,NULL,"12.0",NULL,"0.58",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.08","20.05",NULL,"2.049999952316284",NULL,NULL,NULL,NULL,"2025-03-19 15:09:29.044475"
"BEAUTY","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.03868",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.37","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:09:31.539687"
"BEC","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.05",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.25","78.93",NULL,"2.109999895095825",NULL,NULL,NULL,NULL,"2025-03-19 15:09:33.767186"
"BEM","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.25",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2.25","21.86",NULL,"2.7300000190734863",NULL,NULL,NULL,NULL,"2025-03-19 15:09:35.935915"
"BEYOND","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.1277",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.32","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:09:38.113674"
"BGC","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.37261",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.82","15.3",NULL,"3.7699999809265137",NULL,NULL,NULL,NULL,"2025-03-19 15:09:40.269488"
"BGRIM","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.26",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.86","19.93",NULL,"3.609999895095825",NULL,NULL,NULL,NULL,"2025-03-19 15:09:42.425565"
"BGT","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.02383",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.5","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:09:44.589452"
"BH","STOCK","CS","Open1",0,NULL,NULL,NULL,"9.78093",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"5.05","17.86",NULL,"2.869999885559082",NULL,NULL,NULL,NULL,"2025-03-19 15:09:46.745915"
"BIG","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.02995",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.63","10.68",NULL,"4.690000057220459",NULL,NULL,NULL,NULL,"2025-03-19 15:09:48.923119"
"BIOTEC","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.0271",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.5","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:09:51.210712"
"BIS","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.207",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.01","12.46",NULL,"5.429999828338623",NULL,NULL,NULL,NULL,"2025-03-19 15:09:53.369993"
"BIZ","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.37464",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2.23","8.74",NULL,"10.739999771118164",NULL,NULL,NULL,NULL,"2025-03-19 15:09:55.531777"
"BJC","STOCK","CS","Open1",0,NULL,NULL,NULL,"1.0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.69","20.83",NULL,"3.4100000858306885",NULL,NULL,NULL,NULL,"2025-03-19 15:09:57.709071"
"BJCHI","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.01758",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.36","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:09:59.866675"
"BKD","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.15395",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.85","8.05",NULL,"8.0600004196167",NULL,NULL,NULL,NULL,"2025-03-19 15:10:02.012289"
"BKGI","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.09",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2.19","23.44",NULL,"2.549999952316284",NULL,NULL,NULL,NULL,"2025-03-19 15:10:04.1702"
"BKIH","STOCK","CS","Open1",0,NULL,NULL,NULL,"28.60917",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.93","9.93",NULL,"5.920000076293945",NULL,NULL,NULL,NULL,"2025-03-19 15:10:06.323336"
"BLA","STOCK","CS","Open1",0,NULL,NULL,NULL,"2.12",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.7","9.28",NULL,"3.450000047683716",NULL,NULL,NULL,NULL,"2025-03-19 15:10:08.491714"
"BLAND","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.01019",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.17","7.04",NULL,"2.1700000762939453",NULL,NULL,NULL,NULL,"2025-03-19 15:10:10.649847"
"BLC","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.29",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.5","14.57",NULL,"3.609999895095825",NULL,NULL,NULL,NULL,"2025-03-19 15:10:12.891944"
"BLESS","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.01002",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.16","22.95",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:10:15.040897"
"BLISS","STOCK","CS","Suspend",0,NULL,NULL,NULL,"-0.00287",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-03-19 15:10:17.180928"
"BM","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.13759",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2.01","21.62",NULL,"3.690000057220459",NULL,NULL,NULL,NULL,"2025-03-19 15:10:19.333403"
"BOFFICE","STOCK","CS","Open1",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.5",NULL,NULL,"11.649999618530273",NULL,NULL,NULL,NULL,"2025-03-19 15:10:21.493483"
"BOL","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.33606",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"4.02","15.18",NULL,"6.079999923706055",NULL,NULL,NULL,NULL,"2025-03-19 15:10:23.637655"
"BPP","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.57299",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.42","12.04",NULL,"8.699999809265137",NULL,NULL,NULL,NULL,"2025-03-19 15:10:25.806435"
"BPS","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.02049",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.7","26.37",NULL,"2.5",NULL,NULL,NULL,NULL,"2025-03-19 15:10:27.968445"
"BR","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.13",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.32","12.33",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:10:30.125187"
"BRI","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.50009",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.32","3.98",NULL,"1.5099999904632568",NULL,NULL,NULL,NULL,"2025-03-19 15:10:32.286825"
"BROCK","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.01538",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.25","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:10:34.445653"
"BRR","STOCK","CS","Open1",0,NULL,NULL,NULL,"1.27333",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.94","3.52",NULL,"11.15999984741211",NULL,NULL,NULL,NULL,"2025-03-19 15:10:36.603914"
"BRRGIF","STOCK","CS","Open1",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.6",NULL,NULL,"8.449999809265137",NULL,NULL,NULL,NULL,"2025-03-19 15:10:38.780901"
"BSBM","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.13001",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.47","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:10:40.941008"
"BSM","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.369",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.9","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:10:43.093801"
"BSRC","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.49",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.71","0.0",NULL,"1.5499999523162842",NULL,NULL,NULL,NULL,"2025-03-19 15:10:45.271023"
"BTC","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.017",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.16","24.91",NULL,"5.769999980926514",NULL,NULL,NULL,NULL,"2025-03-19 15:10:47.432371"
"BTG","STOCK","CS","Open1",0,NULL,NULL,NULL,"1.27463",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.41","15.53",NULL,"2.5299999713897705",NULL,NULL,NULL,NULL,"2025-03-19 15:10:49.601799"
"BTNC","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.69122",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.35","20.83",NULL,"1.3899999856948853",NULL,NULL,NULL,NULL,"2025-03-19 15:10:51.791051"
"BTS","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.16",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.53","40.6",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:10:54.017314"
"BTSGIF","STOCK","CS","Open1",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.58",NULL,NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:10:56.176403"
"BTW","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.05179",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.62","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:10:58.343142"
"BUI","STOCK","CS","Open1",0,NULL,NULL,NULL,"4.08",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.69","4.46",NULL,"15.380000114440918",NULL,NULL,NULL,NULL,"2025-03-19 15:11:00.504876"
"BVG","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.11584",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.1","15.8",NULL,"4.639999866485596",NULL,NULL,NULL,NULL,"2025-03-19 15:11:02.666795"
"BWG","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.01693",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.39","17.92",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:11:04.818226"
"BYD","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.891",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.33","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:11:09.130203"
"CAZ","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.7881",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.73","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:11:11.271151"
"CBG","STOCK","CS","Open1",0,NULL,NULL,NULL,"2.84268",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"4.49","20.84",NULL,"2.190000057220459",NULL,NULL,NULL,NULL,"2025-03-19 15:11:13.414426"
"CCET","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.25424",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2.4","23.89",NULL,"3.359999895095825",NULL,NULL,NULL,NULL,"2025-03-19 15:11:15.570379"
"CCP","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.03132",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.39","6.71",NULL,"4.760000228881836",NULL,NULL,NULL,NULL,"2025-03-19 15:11:17.721613"
"CEN","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.02897",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.92","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:11:19.884245"
"CENTEL","STOCK","CS","Open1",0,NULL,NULL,NULL,"1.29851",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2.13","25.22",NULL,"1.7999999523162842",NULL,NULL,NULL,NULL,"2025-03-19 15:11:22.057663"
"CEYE","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.07848",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.99","28.54",NULL,"3.3499999046325684",NULL,NULL,NULL,NULL,"2025-03-19 15:11:24.215452"
"CFARM","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.01954",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.52","33.74",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:11:26.364844"
"CFRESH","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.08794",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.44","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:11:28.540459"
"CGD","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.03045",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.54","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:11:30.679784"
"CGH","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.0622",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.35","8.69",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:11:32.838958"
"CH","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.15894",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.17","12.58",NULL,"5.0",NULL,NULL,NULL,NULL,"2025-03-19 15:11:35.083341"
"CHAO","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.48",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.54","11.92",NULL,"3.2100000381469727",NULL,NULL,NULL,NULL,"2025-03-19 15:11:37.263176"
"CHARAN","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.59",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.46","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:11:39.418339"
"CHASE","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.043",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.36","14.51",NULL,"1.649999976158142",NULL,NULL,NULL,NULL,"2025-03-19 15:11:41.579213"
"CHAYO","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.21206",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.71","10.37",NULL,"0.05000000074505806",NULL,NULL,NULL,NULL,"2025-03-19 15:11:43.750291"
"CHEWA","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.28",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.23","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:11:45.910895"
"CHG","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.08775",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2.68","21.43",NULL,"3.7200000286102295",NULL,NULL,NULL,NULL,"2025-03-19 15:11:48.066249"
"CHIC","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.0196",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.58","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:11:50.231612"
"CHO","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.3478",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.51","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:11:52.3789"
"CHOTI","STOCK","CS","Open1",0,NULL,NULL,NULL,"-17.42",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.58","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:11:54.536084"
"CHOW","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.18484",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.49","7.03",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:11:56.70629"
"CI","STOCK","CS","Close",0,NULL,NULL,NULL,"-0.2478",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.4","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:11:58.874704"
"CIG","STOCK","CS","Close",0,NULL,NULL,NULL,"-0.12685",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.33","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:12:01.038837"
"CIMBT","STOCK","CS","Close",0,NULL,NULL,NULL,"0.08191",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.48","8.55",NULL,"5.710000038146973",NULL,NULL,NULL,NULL,"2025-03-19 15:12:03.187204"
"CITY","STOCK","CS","Close",0,NULL,NULL,NULL,"-0.03528",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.4","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:12:05.328899"
"CIVIL","STOCK","CS","Close",0,NULL,NULL,NULL,"0.16412",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.58","9.69",NULL,"1.2599999904632568",NULL,NULL,NULL,NULL,"2025-03-19 15:12:07.47915"
"CK","STOCK","CS","Close",0,NULL,NULL,NULL,"0.85376",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.93","16.75",NULL,"2.0899999141693115",NULL,NULL,NULL,NULL,"2025-03-19 15:12:09.633819"
"CKP","STOCK","CS","Close",0,NULL,NULL,NULL,"0.165",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.77","16.08",NULL,"3.200000047683716",NULL,NULL,NULL,NULL,"2025-03-19 15:12:11.792002"
